"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"8920",8920,24530079,0.222,0,0.889,1.125,0.346,0.28,2.125,0.71
"8921",8921,24530080,0,0,1e+05,1,0,0.324,3,0.676
"8922",8922,24530081,0,0,1,1.167,0.4,0.15,1.143,0.85
"8923",8923,24530082,0,0,1,1,0.182,0.455,2.812,0.545
"8924",8924,24530083,0,0,1,1,0.367,0.319,1.462,0.681
"8925",8925,24530084,0,0,1,1,0.281,0.216,2.3,0.784
"8926",8926,24530085,0,0,0.955,1,0.524,0.307,1.818,0.686
"8927",8927,24530086,0,0,0.833,1,0.25,0.211,1.9,0.781
"8928",8928,24530087,0,0,1,1,0.578,0.306,1.9,0.694
"8929",8929,24530088,0,0,1,1,0.517,0.293,1.556,0.707
"8930",8930,24530089,0,0,1,1,0.714,0.2,1.2,0.8
"8931",8931,24530090,0,0,1,1,0.488,0.238,2.333,0.762
"8932",8932,24530091,0,0,0.937,1.067,0.41,0.247,1.294,0.753
"8933",8933,24530092,0,0,0.923,1.083,0.25,0.397,3.333,0.603
"8934",8934,24530093,0,0,1,1,0.3,0.115,2,0.897
"8935",8935,24530094,0,0,1,1,0.429,0.25,650000,0.75
"8936",8936,24530095,0,0,1,1,0.245,0.356,5,0.651
"8937",8937,24530096,0.222,0,0.778,0.857,0.6,0.174,0.714,0.837
"8938",8938,24530097,0,0,1,0.857,0.538,0.123,0.875,0.877
"8939",8939,24530098,0,0,0.9,1,0.385,0.232,5.667,0.777
"8940",8940,24530099,0.417,0,0.583,1,0.5,0.258,1.714,0.753
"8941",8941,24530100,0,0,1,1,0.24,0.291,1.818,0.698
"8942",8942,24530101,0.385,0,0.615,1.125,0.295,0.344,1.722,0.648
"8943",8943,24530102,0,0,1,0.833,0.353,0.181,3,0.819
"8944",8944,24530103,0.054,0,0.973,0.972,0.587,0.333,2.167,0.661
"8945",8945,24530104,0,0,1,1,0.3,0.357,2.625,0.649
"8946",8946,24530105,0,0,1,1,0.351,0.381,1.846,0.629
"8947",8947,24530106,0,0,0.944,1.059,0.419,0.448,0.839,0.552
"8948",8948,24530107,0,0,1,1,0.531,0.278,1,0.722
"8949",8949,24530108,0,0.125,1,0.937,0.314,0.468,1.944,0.532
"8950",8950,24530109,0,0,1,1,0.277,0.511,2.917,0.5
"8951",8951,24530110,0.15,0,0.85,1,0.317,0.538,1.536,0.462
"8952",8952,24530111,0,0.118,1,0.941,0.415,0.436,1.412,0.574
"8953",8953,24530112,0.167,0.077,0.867,0.923,0.462,0.382,1.207,0.618
"8954",8954,24530113,0.1,0,0.85,1,0.556,0.324,1.143,0.667
"8955",8955,24530114,0,0,1,1,0.231,0.351,9.5,0.649
"8956",8956,24530115,0,0,0.8,1,0.385,0.137,1.8,0.863
"8957",8957,24530116,0.333,0,0.667,1,0.286,0.236,2.143,0.764
"8958",8958,24530117,0,0,1,0.9,0.312,0.344,4.4,0.667
"8959",8959,24530118,0,0,1,1,0.312,0.294,4.6,0.697
"8960",8960,24530119,0,0,0.667,1,0.5,0.176,1.5,0.824
"8961",8961,24530120,0,0,1,0.929,0.538,0.252,1.3,0.748
"8962",8962,24530121,0.333,0,0.833,1,0.286,0.266,2.5,0.734
"8963",8963,24530122,0,0,1,1,0.32,0.325,1.962,0.68
"8964",8964,24530123,0,0,1.034,1,0.397,0.5,1.593,0.5
"8965",8965,24530124,0.25,0,0.833,1,0.429,0.204,1.067,0.803
"8966",8966,24530125,0,0,1,1,0.176,0.33,2.8,0.66
"8967",8967,24530126,0,0,1.111,0.9,0.205,0.436,7,0.554
"8968",8968,24530127,0,0,1,0.857,0.25,0.267,2.444,0.733
"8969",8969,24530128,0,0,0.955,0.952,0.564,0.331,0.9,0.661
"8970",8970,24530129,0.062,0,0.969,0.968,0.8,0.234,0.389,0.766
"8971",8971,24530130,0.069,0,0.931,1,0.763,0.404,0.889,0.596
"8972",8972,24530131,0.08,0,0.92,1,0.61,0.451,1.455,0.56
"8973",8973,24530132,0.16,0,0.88,0.955,0.676,0.296,1.333,0.696
"8974",8974,24530133,0,0,1,0.96,0.714,0.33,1.429,0.67
"8975",8975,24530134,0,0,1,1,0.838,0.28,0.545,0.727
"8976",8976,24530135,0,0,1,1,0.52,0.255,1.375,0.745
"8977",8977,24530136,0,0,1.083,1,0.706,0.162,1,0.838
"8978",8978,24530137,0,0,1.062,1,0.762,0.269,1,0.744
"8979",8979,24530138,0,0,0.963,1.038,0.6,0.395,0.857,0.614
"8980",8980,24530139,0,0,1.077,0.929,0.722,0.247,0.5,0.767
"8981",8981,24530140,0,0,0.955,1.048,0.88,0.301,0.2,0.711
"8982",8982,24530141,0,0,1,0.923,1,0.302,0,0.721
"8983",8983,24530142,0,0,0.95,1.053,0.69,0.315,1.25,0.674
"8984",8984,24530143,0.111,0,0.852,1.043,0.844,0.264,0.5,0.727
"8985",8985,24530144,0,0,1,1,0.739,0.245,0.545,0.745
"8986",8986,24530145,0,0.087,1,1,0.852,0.245,0.214,0.764
"8987",8987,2454,0.097,0.013,0.903,0.988,0.467,0.358,1.479,0.642
"8988",8988,24540103,0.118,0,0.882,1.067,0.607,0.289,1.222,0.711
"8989",8989,24540104,0,0,1,1,0.591,0.293,1,0.733
"8990",8990,24540105,0,0,0.875,1.071,0.8,0.286,0.625,0.7
"8991",8991,24540106,0,0,0.937,1.067,0.727,0.237,1.4,0.763
"8992",8992,24540107,0,0,1,1,0.682,0.244,2.333,0.756
"8993",8993,24540108,0,0,1,1,0.667,0.181,0.571,0.831
"8994",8994,24540109,0,0,1.036,0.966,0.683,0.308,1.091,0.699
"8995",8995,24540110,0,0,1,0.909,0.55,0.27,1,0.73
"8996",8996,24540111,0,0,1,1.091,0.355,0.263,3.167,0.737
"8997",8997,24540112,0,0,0.95,1.053,0.667,0.303,2.2,0.687
"8998",8998,24540113,0,0,1,0.933,0.556,0.281,1.444,0.719
"8999",8999,24540114,0,0,1,1.1,0.667,0.197,1.333,0.789
"9000",9000,24540115,0,0,1,1,0.783,0.217,1,0.783
"9001",9001,24540116,0,0,0,0,0,0.167,3,0.806
"9002",9002,24540117,0,0,1,1,0.62,0.386,1.393,0.61
"9003",9003,24540118,0,0,1,1,0.577,0.366,1.375,0.634
"9004",9004,24540119,0,0,1,1,0.5,0.33,2.429,0.67
"9005",9005,24540120,0,0,1.077,1,0.65,0.215,1.75,0.774
"9006",9006,24540121,0,0,1,1.025,0.533,0.481,1.44,0.513
"9007",9007,24540122,0,0,1,1,0.781,0.294,0.353,0.706
"9008",9008,24540123,0,0,1,1,0.5,0.361,1.294,0.639
"9009",9009,24540124,0,0,0.889,1,0.375,0.207,1.25,0.793
"9010",9010,24540125,0,0,1,1,0.469,0.438,0.85,0.562
"9011",9011,24540126,0,0,1.091,1,0.579,0.275,1.6,0.725
"9012",9012,24540127,0,0,0.875,1,0.381,0.206,1.857,0.804
"9013",9013,24540128,0,0,0.937,1,0.64,0.205,2,0.787
"9014",9014,24540129,0,0,1.1,0.909,0.625,0.198,3e+05,0.802
"9015",9015,24540130,0,0.182,1.1,0.909,0.345,0.341,2.571,0.647
"9016",9016,24540131,0,0,1,1,0.656,0.364,1.1,0.636
"9017",9017,24540132,0.133,0,1,1,0.517,0.337,3,0.651
"9018",9018,24540133,0,0,1,1,0.609,0.25,1.286,0.75
"9019",9019,24540134,0,0,1,1,0.652,0.195,1.125,0.788
"9020",9020,24540135,0,0,1.143,0.875,0.636,0.111,0.5,0.889
"9021",9021,24540136,0,0,1,1,0.7,0.189,0.583,0.802
"9022",9022,24540137,0,0,0.944,1,0.621,0.367,1.111,0.658
"9023",9023,24540138,0.121,0,0.879,1,0.702,0.313,0.933,0.687
"9024",9024,24540139,0.267,0,0.733,1,0.714,0.231,2,0.769
"9025",9025,24540140,0,0,0.889,1.125,1,0.12,0,0.88
"9026",9026,24540141,0,0,1,1.038,0.743,0.357,5,0.643
"9027",9027,24540142,0,0,1,1,0.733,0.326,1.333,0.667
"9028",9028,24540143,0.312,0,0.75,0.917,0.571,0.212,1.571,0.795
"9029",9029,24540144,0,0.105,0.95,0.947,0.606,0.333,0.875,0.667
"9030",9030,24540145,0,0,1,1,0.588,0.349,2.25,0.656
"9031",9031,24540146,0,0,1,1,0.469,0.36,1.133,0.652
"9032",9032,24540147,0,0,0,0,0,0.138,4.5,0.831
"9033",9033,24540148,0,0,0.857,1,0.7,0.132,0.6,0.882
"9034",9034,24540149,0.222,0,0.889,1,0.429,0.323,2.2,0.677
"9035",9035,24540150,0,0,1.125,1,0.471,0.227,2.667,0.787
"9036",9036,24540151,0,0,1.036,1,0.519,0.54,3.571,0.47
"9037",9037,24540152,0.273,0,0.727,1,0.344,0.352,1.467,0.648
"9038",9038,24540153,0,0,1,1,0.529,0.181,1.6,0.819
"9039",9039,24540154,0.13,0,0.913,0.952,0.434,0.465,2.231,0.535
"9040",9040,24540155,0,0,0.929,1,0.437,0.337,1.187,0.642
"9041",9041,24540156,0.182,0,0.864,0.947,0.449,0.598,1.444,0.427
"9042",9042,24540157,0.226,0,0.774,1,0.517,0.612,0.906,0.388
"9043",9043,24540158,0.5,0,0.5,1,0.267,0.5,4.4,0.5
"9044",9044,24540159,0,0,0.944,1,0.429,0.545,1.042,0.455
"9045",9045,24540160,0.389,0,0.556,1.1,0.486,0.425,1.667,0.575
"9046",9046,24540161,0,0,0.818,1,0.367,0.429,2,0.571
"9047",9047,24540162,0.211,0,0.789,1,0.302,0.685,1.467,0.315
"9048",9048,24540163,0,0,1,0.917,0.333,0.409,1.263,0.591
"9049",9049,24540164,0.118,0,0.882,1,0.447,0.487,1.571,0.5
"9050",9050,24540165,0.065,0,0.935,1,0.403,0.597,1.769,0.403
"9051",9051,24540166,0,0,1.143,1,0.333,0.389,1.3,0.63
"9052",9052,24540167,0,0,0.8,1,0.104,0.585,1.692,0.415
"9053",9053,24540168,0,0,1,1,0.324,0.587,1.714,0.413
"9054",9054,24540169,NA,NA,NA,NA,NA,NA,NA,NA
"9055",9055,24540170,0.091,0,0.955,1,0.478,0.568,1.437,0.444
"9056",9056,24540171,0.281,0,0.719,1,0.492,0.637,1.065,0.363
"9057",9057,24540172,0.25,0.286,0.875,0.857,0.348,0.697,1.25,0.333
"9058",9058,24540173,0.087,0,0.87,1,0.639,0.59,0.609,0.41
"9059",9059,24540174,0.12,0,0.92,0.957,0.521,0.615,1.412,0.385
"9060",9060,24540175,0.28,0.111,0.72,0.944,0.403,0.596,1.156,0.404
"9061",9061,24540176,0.2,0,0.733,1.091,0.469,0.352,1.889,0.648
"9062",9062,24540177,0.1,0,0.9,1,0.345,0.592,1.81,0.408
"9063",9063,24540178,0.267,0.057,0.778,0.943,0.542,0.565,1.088,0.429
"9064",9064,24540179,0.267,0,0.867,0.923,0.306,0.516,2.2,0.495
"9065",9065,24540180,0.071,0.074,0.964,0.963,0.596,0.58,0.76,0.432
"9066",9066,24540181,0.455,0,0.515,1,0.5,0.75,0.917,0.239
"9067",9067,24540182,0,0,1,0.923,0.333,0.307,1.3,0.685
"9068",9068,24540183,0,0,0.889,0.875,0.17,0.564,3.214,0.426
"9069",9069,24540184,0,0,1,1,0.383,0.48,1.45,0.52
"9070",9070,24540185,0,0,1,1,0.412,0.415,1.25,0.585
"9071",9071,24540186,0.2,0,0.9,1,0.312,0.464,1.615,0.536
"9072",9072,24540187,0,0,1,1,0.324,0.44,1.733,0.548
"9073",9073,24540188,0.16,0.095,0.84,0.905,0.581,0.683,0.615,0.333
"9074",9074,24540189,0,0,0.923,1,0.382,0.479,2.625,0.521
"9075",9075,24540190,0.115,0,0.885,1,0.51,0.689,0.812,0.311
"9076",9076,24540191,0,0,1,1,0.414,0.358,1.778,0.642
"9077",9077,24540192,0.2,0,0.8,1,0.357,0.416,1.421,0.574
"9078",9078,24540193,0.333,0,0.722,1,0.462,0.639,1.053,0.361
"9079",9079,24540194,0.333,0.222,0.75,0.778,0.3,0.494,2.7,0.494
"9080",9080,24540195,0,0.118,0.944,0.941,0.474,0.447,1.909,0.541
"9081",9081,24540196,0.154,0,0.808,1.048,0.382,0.459,2,0.547
"9082",9082,24540197,0,0,0.909,1,0.324,0.354,1.846,0.635
"9083",9083,24540198,0.182,0,0.818,1,0.324,0.312,1.533,0.688
"9084",9084,24540199,0,0.067,0.937,0.967,0.416,0.358,1.607,0.642
"9085",9085,24540200,0,0,1,1,0.375,0.525,1.25,0.475
"9086",9086,24540201,0,0,1,1,0.329,0.547,2.292,0.447
"9087",9087,24540202,0,0,1,1,0.333,0.35,6.25,0.641
"9088",9088,24540203,0,0,1,1,0.687,0.208,0.545,0.792
"9089",9089,24540204,0.095,0,0.905,0.947,0.339,0.416,1.429,0.584
"9090",9090,24540205,0.357,0,0.643,1,0.483,0.322,1.25,0.667
"9091",9091,24540206,0,0,1,1,0.432,0.506,1.19,0.494
"9092",9092,24540207,0,0,1.1,1,0.385,0.28,2.667,0.72
"9093",9093,24540208,0.2,0,0.8,1,0.349,0.297,4.143,0.703
"9094",9094,24540209,0,0,1,1,0.435,0.242,1.75,0.747
"9095",9095,24540210,0,0,1,1,0.55,0.22,0.818,0.769
"9096",9096,24540211,0,0,1,0.667,0.187,0.219,1.5,0.781
"9097",9097,24540212,0,0,1,1,0.08,0.217,6,0.783
"9098",9098,24540213,0,0,1,1,0.133,0.185,1.182,0.815
"9099",9099,24540214,0,0,1,1,0.611,0.247,1.75,0.767
"9100",9100,24540215,0,0,1.25,0.8,0.444,0.173,2e+05,0.827
"9101",9101,24540216,0,0,1,1,0.364,0.419,2.071,0.581
"9102",9102,24540217,0.5,1,0.333,1,0.316,0.211,3.25,0.778
"9103",9103,24540218,0,0,1,0.929,0.56,0.312,1.5,0.687
"9104",9104,24540219,0,0,1,0.8,0.385,0.144,1.8,0.856
"9105",9105,24540220,0,0,1,1,0.286,0.146,2.25,0.865
"9106",9106,24540221,0.562,0,0.437,1,0.578,0.654,1.591,0.346
"9107",9107,24540222,0,0,0.933,1,0.517,0.377,1.364,0.623
"9108",9108,24540223,0,0,1.143,0.875,0.35,0.714,1.857,0.286
"9109",9109,24540224,0.44,0,0.56,1,0.481,0.627,0.844,0.373
"9110",9110,24540225,0.452,0,0.581,0.944,0.443,0.507,1.56,0.493
"9111",9111,24540226,0,0,1,1.043,0.404,0.5,1.296,0.5
"9112",9112,24540227,0,0,1,1,0.316,0.209,3.25,0.78
"9113",9113,24540228,0,0,0.75,1,0.182,0.278,2.571,0.722
"9114",9114,24540229,0,0,0.833,1,0.24,0.255,2.222,0.745
"9115",9115,24540230,0,0,0.833,1,0.25,0.296,4.5,0.716
"9116",9116,24540231,0,0,1,1,0.174,0.299,2.714,0.701
"9117",9117,24540232,0,0,1,1,0.469,0.389,1.368,0.603
"9118",9118,24540233,0,0,1,1,0.4,0.474,1.588,0.537
"9119",9119,24540234,0,0,1,1,0.074,0.337,1.846,0.662
"9120",9120,24540235,0,0,0.96,0.958,0.342,0.371,2.13,0.624
"9121",9121,24540236,0,0,1,1,0.24,0.236,1.059,0.774
"9122",9122,24540237,0,0,1,1,0.3,0.227,1,0.78
"9123",9123,24540238,0,0,0.75,1.333,0.333,0.164,2.667,0.836
"9124",9124,24540239,0.053,0,0.947,1,0.76,0.391,0.786,0.617
"9125",9125,24540240,0,0,1.045,1,0.564,0.302,1.308,0.698
"9126",9126,24540241,0,0,1.1,1,0.526,0.241,2,0.772
"9127",9127,24540242,0,0,1,1,0.5,0.067,0,0.95
"9128",9128,24540243,0,0,1.077,0.929,0.867,0.109,0.25,0.891
"9129",9129,24540244,0,0,1,1,0.583,0.136,1.5,0.852
"9130",9130,24540245,0,0,1,1.062,0.471,0.288,0.85,0.712
"9131",9131,24540246,0,0,0.962,1,0.667,0.269,1.857,0.738
"9132",9132,24540247,0,0.143,1.077,0.929,0.722,0.231,2,0.756
"9133",9133,24540248,0,0,0.947,1,0.76,0.26,0.857,0.729
"9134",9134,24540249,0,0,1,1,0.125,0.222,4.333,0.792
"9135",9135,24540250,0,0,1,1,0.415,0.387,1.95,0.613
"9136",9136,24540251,0.533,0,0.433,1.077,0.588,0.411,1,0.597
"9137",9137,24540252,0,0,1.143,0.875,0.241,0.215,3.5,0.785
"9138",9138,24540253,0.417,0,0.583,0.857,0.387,0.326,2.111,0.663
"9139",9139,24540254,0,0,0.9,1,0.588,0.23,3.5,0.784
"9140",9140,24540255,0,0.143,1,0.786,0.368,0.38,2.273,0.62
"9141",9141,24540256,0.13,0,0.913,0.905,0.697,0.273,0.833,0.727
"9142",9142,24540257,0.145,0,0.839,1,0.5,0.525,2,0.475
"9143",9143,24540258,0.176,0,0.824,1,0.63,0.233,0.909,0.759
"9144",9144,24540259,0.105,0.111,0.947,0.944,0.358,0.421,1.5,0.579
"9145",9145,24540260,0,0,1,1,0.353,0.2,550000,0.788
"9146",9146,24540261,0,0,1,1,0.682,0.286,0.727,0.727
"9147",9147,24540262,0,0.154,1,0.923,0.722,0.273,1.667,0.712
"9148",9148,24540263,0,0,1,0.952,0.538,0.371,0.947,0.638
"9149",9149,24540264,0,0,1,1,0.909,0.143,0.25,0.857
"9150",9150,2455,0.019,0.004,0.98,0.996,0.682,0.334,1.01,0.666
"9151",9151,24550038,0,0,1,1,0.529,0.162,2.667,0.838
"9152",9152,24550039,0.044,0,0.956,1.023,0.882,0.291,0.333,0.703
"9153",9153,24550040,0,0,1,1,0.727,0.308,1,0.682
"9154",9154,24550041,0,0,1,1,0.875,0.203,0.286,0.785
"9155",9155,24550042,0,0,1,1.028,0.735,0.331,1.3,0.662
"9156",9156,24550043,0,0,1,1,0.8,0.26,0.667,0.74
"9157",9157,24550044,0,0,1,1,0.676,0.268,1,0.739
"9158",9158,24550045,0,0,1,1,0.5,0.435,2.1,0.543
"9159",9159,24550046,0,0,1,0.964,0.509,0.379,1.529,0.614
"9160",9160,24550047,0,0,0.957,1.045,0.489,0.385,2,0.623
"9161",9161,24550048,0,0,1,0.976,0.636,0.342,1.412,0.658
"9162",9162,24550049,0,0,1,1,0.521,0.452,2,0.548
"9163",9163,24550050,0,0.095,0.955,1,0.846,0.292,0.667,0.719
"9164",9164,24550051,0,0,1,1,0.909,0.375,0.5,0.625
"9165",9165,24550052,0.125,0,0.937,1,0.593,0.276,2.75,0.724
"9166",9166,24550053,0,0,1,1.042,0.667,0.391,1.1,0.609
"9167",9167,24550054,0.028,0,0.958,1,0.758,0.47,0.828,0.53
"9168",9168,24550055,0,0,0.97,1.031,0.786,0.231,0.714,0.764
"9169",9169,24550056,0,0,1,1,0.724,0.264,1.143,0.736
"9170",9170,24550057,0,0,0.944,1,1,0.205,0,0.784
"9171",9171,24550058,0,0,1,1,0.758,0.295,0.5,0.705
"9172",9172,24550059,0,0,1,1,0.722,0.364,0.818,0.636
"9173",9173,24550060,0,0,1,0.917,0.706,0.212,0.6,0.787
"9174",9174,24550061,0,0,1,1,0.514,0.372,1.591,0.628
"9175",9175,24550062,0,0,1,1.062,0.8,0.247,0.571,0.753
"9176",9176,24550063,0.054,0,0.946,1,0.74,0.407,0.56,0.593
"9177",9177,24550064,0,0,0.941,1.062,0.68,0.2,0.571,0.8
"9178",9178,24550065,0,0,0.944,1,0.529,0.395,1.5,0.593
"9179",9179,24550066,0.111,0.118,0.944,0.941,0.562,0.364,0.933,0.636
"9180",9180,24550067,0,0,1,1,0.457,0.289,1.583,0.719
"9181",9181,24550068,0,0,1,1,0.278,0.184,2,0.827
"9182",9182,24550069,0,0,1.045,1,0.667,0.429,0.692,0.584
"9183",9183,24550070,0.011,0,0.989,1,0.757,0.56,1.17,0.437
"9184",9184,24550071,0,0,0.968,1,0.585,0.465,1.375,0.535
"9185",9185,24550072,0.167,0,0.792,1.053,0.774,0.274,0.583,0.726
"9186",9186,24550073,0.16,0,0.84,1,0.51,0.327,1.5,0.68
"9187",9187,24550074,0,0,1,1,0.667,0.36,1.391,0.64
"9188",9188,24550075,0.069,0,0.897,1,0.806,0.286,1.6,0.706
"9189",9189,24550076,0,0,0.958,1.043,0.706,0.243,0.526,0.75
"9190",9190,24550077,0,0,1,0.964,0.903,0.282,0.25,0.709
"9191",9191,24550078,0.125,0,0.937,1,0.615,0.299,0.556,0.713
"9192",9192,24550079,0.034,0.035,0.983,0.965,0.744,0.569,1.053,0.423
"9193",9193,24550080,0,0.083,0.96,0.958,0.714,0.276,1,0.724
"9194",9194,24550081,0,0,1.083,1,0.316,0.396,2.167,0.594
"9195",9195,24550082,0,0,1,1,0.545,0.237,1.571,0.763
"9196",9196,24550083,0.048,0,0.952,1,0.667,0.333,0.778,0.661
"9197",9197,24550084,0,0,1,1,0.818,0.282,1,0.718
"9198",9198,24550085,0,0,1.033,1,0.698,0.214,0.8,0.786
"9199",9199,24550086,0.056,0,0.944,0.971,0.818,0.247,0.4,0.753
"9200",9200,24550087,0,0,1,0.968,0.912,0.227,0.267,0.773
"9201",9201,24550088,0,0,1,1.048,0.955,0.268,0.133,0.707
"9202",9202,2456,0.032,0.036,0.967,0.964,0.413,0.353,1.659,0.647
"9203",9203,24560128,0,0,0.8,1.25,0.455,0.143,3.5,0.857
"9204",9204,24560129,0.091,0,0.909,1,0.733,0.303,1.286,0.687
"9205",9205,24560130,0.143,0,0.929,1,0.933,0.205,0,0.795
"9206",9206,24560131,0,0,1,1,0.955,0.208,0,0.802
"9207",9207,24560132,0,0,1.143,1,0.437,0.208,1.333,0.792
"9208",9208,24560133,0,0,1,1,0.85,0.247,0.25,0.765
"9209",9209,24560134,0.16,0,0.84,1,0.781,0.291,0.778,0.709
"9210",9210,24560135,0,0,1,1.048,0.75,0.246,0.6,0.754
"9211",9211,24560136,0,0,1,1,0.75,0.167,150000,0.833
"9212",9212,24560137,0,0,0.923,1,0.52,0.122,3.25,0.878
"9213",9213,24560138,0,0,0.941,1,0.531,0.395,1,0.605
"9214",9214,24560139,0,0,1,1,0.446,0.327,1.6,0.673
"9215",9215,24560140,0,0,1.333,0.75,0.12,0.243,2.2,0.748
"9216",9216,24560141,0,0,1.143,1,0.437,0.222,1.125,0.764
"9217",9217,24560142,0,0.158,1,0.842,0.514,0.289,2.571,0.703
"9218",9218,24560143,0,0,0,1e+05,0.167,0.164,3.333,0.849
"9219",9219,24560144,0,0,0.667,1,0.231,0.181,1.429,0.806
"9220",9220,24560145,0,0,0,0,0.105,0.229,1.636,0.771
"9221",9221,24560146,0.167,0,0.778,1,0.621,0.276,1.714,0.714
"9222",9222,24560147,0.061,0.065,0.939,0.968,0.458,0.336,1.219,0.664
"9223",9223,24560148,0,0,1,0.9,0.238,0.326,2.462,0.674
"9224",9224,24560149,0,0,0.667,1.5,0.176,0.2,2.5,0.8
"9225",9225,24560150,0,0,1.083,0.923,0.522,0.264,2,0.736
"9226",9226,24560151,0,0.143,0.933,0.857,0.536,0.424,1.3,0.591
"9227",9227,24560152,0,0,1,0.889,0.29,0.403,1.692,0.597
"9228",9228,24560153,0,0,1,0.667,0.187,0.222,2,0.792
"9229",9229,24560154,0,0,1.5,1,0.118,0.262,7.5,0.738
"9230",9230,24560155,0,0,1,1,0.435,0.258,7,0.753
"9231",9231,24560156,0,0.133,0.882,0.933,0.395,0.453,1.368,0.547
"9232",9232,24560157,0,0,0.917,1.091,0.255,0.54,1.944,0.46
"9233",9233,24560158,0,0,0.95,1.053,0.351,0.613,1.423,0.376
"9234",9234,24560159,0,0,1,1.143,0.189,0.514,2.5,0.472
"9235",9235,24560160,0.357,0,0.643,0.889,0.311,0.556,1.348,0.444
"9236",9236,24560161,0.286,0,0.643,1,0.304,0.489,2.75,0.5
"9237",9237,24560162,0,0,0.917,1.091,0.364,0.402,2.1,0.573
"9238",9238,24560163,0.187,0,0.812,1,0.271,0.557,1.483,0.453
"9239",9239,24560164,0,0,1.143,1,0.318,0.386,1.875,0.614
"9240",9240,24560165,0,0.375,0.889,0.625,0.321,0.269,3.333,0.721
"9241",9241,24560166,0.222,0,0.889,1,0.4,0.375,2.077,0.617
"9242",9242,24560167,0.286,0,0.571,1.25,0.226,0.33,1.15,0.67
"9243",9243,24560168,0,0,1,1,0.095,0.244,4.75,0.756
"9244",9244,24560169,NA,NA,NA,NA,NA,NA,NA,NA
"9245",9245,24560170,0.154,0,0.846,1,0.481,0.325,1.667,0.675
"9246",9246,24560171,0,0,1.333,1,0.176,0.207,1.75,0.793
"9247",9247,24560172,0,0,0.952,1.05,0.512,0.35,1.053,0.65
"9248",9248,24560173,0,0,1.143,0.875,0.389,0.247,5.5,0.74
"9249",9249,24560174,0,0,1.1,0.909,0.204,0.437,3.545,0.554
"9250",9250,24560175,0.2,0,0.8,0.75,0.27,0.398,1.867,0.591
"9251",9251,24560176,0,0,0.917,1,0.286,0.433,2.727,0.546
"9252",9252,24560177,0.2,0,0.9,0.889,0.222,0.484,1.214,0.505
"9253",9253,24560178,0,0,1,0.857,0.149,0.627,2.105,0.387
"9254",9254,24560179,0,0,0.917,1,0.231,0.591,1.379,0.42
"9255",9255,24560180,0,0,1.125,0.889,0.308,0.433,1.462,0.567
"9256",9256,24560181,0.187,0,0.812,1,0.615,0.578,1.833,0.4
"9257",9257,24560182,0,0.143,1,0.857,0.275,0.537,1.385,0.474
"9258",9258,24560183,0,0,1,1,0.176,0.63,2.733,0.383
"9259",9259,24560184,0,0,1,1,0.295,0.518,2.462,0.482
"9260",9260,24560185,0.154,0,1,0.923,0.342,0.543,1.5,0.457
"9261",9261,24560186,0.187,0.167,0.75,0.917,0.271,0.59,1.303,0.4
"9262",9262,24560187,0.125,0,0.937,1,0.333,0.533,1.684,0.478
"9263",9263,24560188,0,0,1,1.062,0.327,0.612,1.882,0.387
"9264",9264,24560189,0.118,0,0.941,1,0.34,0.532,1.833,0.457
"9265",9265,24560190,0,0.154,1,0.846,0.371,0.515,1.222,0.485
"9266",9266,24560191,0,0.2,1,0.9,0.222,0.556,2.333,0.432
"9267",9267,24560192,0,0,1.111,0.9,0.209,0.448,3.091,0.552
"9268",9268,24560193,0,0,1,0.923,0.317,0.554,1.474,0.446
"9269",9269,24560194,0.25,0,0.833,1,0.226,0.535,2.412,0.455
"9270",9270,24560195,0,0,1,1.1,0.278,0.379,1.316,0.621
"9271",9271,24560196,0.25,0,0.75,1,0.408,0.434,2.071,0.566
"9272",9272,24560197,0,0,1,1,0.255,0.534,1.333,0.455
"9273",9273,24560198,0,0.4,1,0.8,0.227,0.286,6,0.701
"9274",9274,24560199,0.111,0,0.889,1,0.375,0.558,2.417,0.43
"9275",9275,24560200,0,0.2,1,0.8,0.246,0.53,1.586,0.47
"9276",9276,24560201,0,0,1,1,0.397,0.562,2.437,0.437
"9277",9277,24560202,0,0.143,1,0.929,0.219,0.593,1.429,0.407
"9278",9278,24560203,0,0.1,1,0.95,0.588,0.531,1.556,0.469
"9279",9279,24560204,0,0.118,1,0.941,0.309,0.478,3.455,0.522
"9280",9280,24560205,0.143,0.231,0.929,0.769,0.304,0.541,1.524,0.459
"9281",9281,24560206,0,0,1,1,0.323,0.326,2.333,0.674
"9282",9282,24560207,0,0,1.143,1,0.368,0.302,1.1,0.698
"9283",9283,24560208,0,0.077,1.04,0.923,0.49,0.347,1.625,0.653
"9284",9284,24560209,0,0,1,1,0.163,0.391,2.4,0.609
"9285",9285,24560210,0,0,1,1.143,0.25,0.308,4.2,0.692
"9286",9286,24560211,0,0,1,1,0.091,0.123,2,0.877
"9287",9287,24560212,0,0,1,1,0.095,0.368,1e+06,0.632
"9288",9288,24560213,0,0,0.952,1,0.477,0.319,2.4,0.681
"9289",9289,24560214,0,0,1,1,0.444,0.324,1.667,0.676
"9290",9290,24560215,0,0.214,1,0.786,0.5,0.304,1.3,0.696
